"CAMPAIGN_PERFORMANCE_REPORT (Apr 12, 2016-May 11, 2016)"
Day,Campaign ID,Campaign,Impressions,Clicks,Cost
2016-04-20,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-04-21,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-04-25,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-04-26,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-04-27,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-04-28,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-04-29,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-04-30,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-05-02,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-05-03,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-05-04,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-05-07,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-05-08,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-05-09,366818074,Moonbow Air Purifier ( GDN),0,0,0
2016-04-12,368117434,Moonbow Remarketing,0,0,0
2016-04-13,368117434,Moonbow Remarketing,0,0,0
2016-04-14,368117434,Moonbow Remarketing,0,0,0
2016-04-15,368117434,Moonbow Remarketing,0,0,0
2016-04-17,368117434,Moonbow Remarketing,0,0,0
2016-04-19,368117434,Moonbow Remarketing,0,0,0
2016-04-20,368117434,Moonbow Remarketing,0,0,0
2016-04-22,368117434,Moonbow Remarketing,0,0,0
2016-04-24,368117434,Moonbow Remarketing,0,0,0
2016-04-26,368117434,Moonbow Remarketing,0,0,0
2016-04-27,368117434,Moonbow Remarketing,0,0,0
2016-05-01,368117434,Moonbow Remarketing,0,0,0
2016-05-02,368117434,Moonbow Remarketing,0,0,0
2016-05-03,368117434,Moonbow Remarketing,0,0,0
2016-05-06,368117434,Moonbow Remarketing,0,0,0
2016-05-07,368117434,Moonbow Remarketing,0,0,0
2016-05-08,368117434,Moonbow Remarketing,0,0,0
2016-05-11,368117434,Moonbow Remarketing,0,0,0
2016-04-14,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-15,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-16,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-17,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-18,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-20,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-22,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-23,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-25,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-26,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-27,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-28,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-05-04,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-05-05,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-05-06,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-05-11,373619314,[S[Moonbow_Air Purifier_Comp]: Competitor - Exact,0,0,0
2016-04-13,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,0,0,0
2016-04-18,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,0,0,0
2016-04-23,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,0,0,0
2016-04-24,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,0,0,0
2016-04-30,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,0,0,0
2016-05-01,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,0,0,0
2016-05-04,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,0,0,0
2016-05-05,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,0,0,0
2016-05-06,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,0,0,0
2016-05-08,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,0,0,0
2016-04-12,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-13,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-15,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-16,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-17,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-19,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-20,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-22,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-23,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-24,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-26,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-05-03,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-05-06,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-05-07,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-05-08,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-05-10,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,0,0,0
2016-04-15,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-04-17,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-04-19,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-04-20,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-04-24,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-04-26,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-04-28,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-04-29,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-04-30,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-05-01,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-05-02,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-05-03,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-05-06,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-05-07,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-05-08,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-05-09,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-05-11,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,0,0,0
2016-04-13,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-04-15,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-04-16,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-04-17,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-04-19,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-04-20,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-04-21,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-04-22,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-04-24,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-05-01,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-05-05,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-05-06,373626634,[S[Moonbow_Air Purifier]: Brand - BMM,0,0,0
2016-04-12,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-13,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-15,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-16,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-17,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-18,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-19,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-20,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-21,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-26,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-29,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-05-05,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-05-08,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-05-09,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-05-11,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,0,0,0
2016-04-13,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-04-14,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-04-19,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
2016-04-20,373628914,[S[Moonbow_Air Filter]: Generic,0,0,0
