"KEYWORDS_PERFORMANCE_REPORT (Jan 1, 2016-Nov 30, 2016)"
Day,Campaign ID,Campaign,Keyword ID,Keyword,Impressions,Clicks,Conversions,Cost
2016-03-02,366284074,Moonbow Air purifier Launch ( Search),17316181,air filtering,15,0,0.0,0
2016-01-29,366284074,Moonbow Air purifier Launch ( Search),127934300,sharp air purifier,22,1,0.0,34170000
2016-03-08,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,29480333015,"+air +purify",9,0,0.0,0
2016-03-10,382431634,LICHFL ( REVISED),11589365522,eligibility for housing loan,375,7,0.0,249720000
2016-02-24,377282074,LICHFL - Search campaign,360466949,housing loans in india,6,1,0.0,9230000
2016-02-26,377282074,LICHFL - Search campaign,928161286,housing finance ltd,240,14,0.0,119710000
2016-02-01,366284074,Moonbow Air purifier Launch ( Search),5414209520,air purifier dust remover,1,0,0.0,0
2016-03-04,366284074,Moonbow Air purifier Launch ( Search),20358513,indoor air filtration,3,0,0.0,0
2016-03-02,366284074,Moonbow Air purifier Launch ( Search),24047041,ionic purifier,1,0,0.0,0
2016-03-10,382431634,LICHFL ( REVISED),26587523,home loan interest calculator,6,1,0.0,26740000
2016-01-25,366284074,Moonbow Air purifier Launch ( Search),41646620327,air purifier india reviews,3,0,0.0,0
2016-03-15,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,271787184,ozone air purification,1,0,0.0,0
2016-03-10,382431634,LICHFL ( REVISED),12251861,fast payday loan,3,0,0.0,0
2016-03-01,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,32690726858,"+kenmore +air +purifier",3,0,0.0,0
2016-03-17,382816714,Moonbow search(revised),1200995624,water purifiers price,1,0,0.0,0
2016-01-18,366284074,Moonbow Air purifier Launch ( Search),140700082,air purifier sale,2,0,0.0,0
2016-02-18,366284074,Moonbow Air purifier Launch ( Search),20181581,air ioniser,10,1,0.0,13120000
2016-02-02,366284074,Moonbow Air purifier Launch ( Search),3000619836,ionic air purifier ozone ionizer,1,0,0.0,0
2016-03-07,366284074,Moonbow Air purifier Launch ( Search),50141683,heater filter,1,0,0.0,0
2016-02-08,373628434,[S[Moonbow_Air Cleaner_Gen]: Generic,358957330,portable electronic air cleaner,2,0,0.0,0
2016-03-11,377282074,LICHFL - Search campaign,33277390,home loan repayments,19,0,0.0,0
2016-02-14,366284074,Moonbow Air purifier Launch ( Search),35630481,ion air purifiers,2,0,0.0,0
2016-02-11,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,18981647450,"+compact +air +purifier",14,0,0.0,0
2016-03-16,366284074,Moonbow Air purifier Launch ( Search),951388037,air filtering machines,1,0,0.0,0
2016-02-08,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,259950336,sharp air purifier,73,1,0.0,29790000
2016-03-13,382431634,LICHFL ( REVISED),65157761,calculator loan mortgage,1,0,0.0,0
2016-03-10,382431634,LICHFL ( REVISED),84235485809,bank loan without cibil check,2,0,0.0,0
2016-03-20,382816714,Moonbow search(revised),1505051940,air filter best,1,0,0.0,0
2016-02-07,366284074,Moonbow Air purifier Launch ( Search),20181581,air ioniser,1,0,0.0,0
2016-02-13,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,24485122793,"+air +purifier +price",35,3,0.0,86680000
2016-03-14,382431634,LICHFL ( REVISED),62112336193,www.cibil score,1,0,0.0,0
2016-03-13,377282074,LICHFL - Search campaign,16746423,home loan company,2,0,0.0,0
2016-02-23,373626514,[S[Moonbow_Air Purifier]: Brand - Exact,189024108994,air purifier moonbow,1,0,0.0,0
2016-03-14,377282074,LICHFL - Search campaign,43115869048,home loan calculator lic housing finance,1,0,0.0,0
2016-03-16,382816714,Moonbow search(revised),11964954164,how to keep the air clean,1,0,0.0,0
2016-02-17,366284074,Moonbow Air purifier Launch ( Search),41646620087,air purifier price india,10,0,0.0,0
