Line Item,Line Item ID,Line Item Status,Line Item Integration Code,Targeted Data Providers,Active View: Measurable Impressions,Clicks,Click Rate (CTR)
British Council_16th JAN 17,9956238,Active,,,690258,317,0.039%

Report Time:,2017/02/01 04:37 GMT
Date Range:,2017/01/30 to 2017/01/30
Group By:,Line Item
Group By:,Line Item ID
Group By:,Line Item Status
Group By:,Line Item Integration Code
Group By:,Targeted Data Providers
Filter by Line Item ID:,9956238
Filter by Partner ID:,610940
