Platform,Date,Active View: Measurable Impressions,Clicks,Click Rate (CTR)
Bid Manager 2.0,2017/01/16,168004,190,0.096%
Bid Manager 2.0,2017/01/17,7893,5,0.055%
Bid Manager 2.0,2017/01/18,161271,144,0.078%
Bid Manager 2.0,2017/01/19,338692,186,0.047%
,,675860,525,0.066%

Report Time:,2017/01/20 08:58 GMT
Date Range:,2017/01/13 to 2017/01/19
Group By:,Platform
Group By:,Date
Filter by Line Item ID:,9956238
Filter by Partner ID:,610940
