"GENDER_PERFORMANCE_REPORT (Apr 1, 2016-Jul 1, 2016)"
Day,Campaign ID,Campaign,Gender,Impressions,Clicks,Conversions,Cost
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,14031,30,0.0,5143920000
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),Female,13216,24,0.0,5068720000
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),Female,9806,14,0.0,3636980000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),Female,10426,13,0.0,3721570000
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),Female,11388,23,0.0,3776190000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,12546,18,0.0,4391940000
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,8607,9,0.0,3039890000
2016-04-01,390878914,TNT GDN,Male,40571,7,0.0,71888090
2016-04-18,390878914,TNT GDN,Male,13608,4,0.0,16782780
2016-04-05,390878914,TNT GDN,Male,141934,28,0.0,220222890
2016-04-04,390878914,TNT GDN,Male,132722,19,0.0,210309720
2016-04-10,390878914,TNT GDN,Male,100857,26,0.0,167790100
2016-04-07,390878914,TNT GDN,Male,94611,26,0.0,148696010
2016-04-13,390878914,TNT GDN,Male,136060,24,0.0,211854140
2016-04-15,390878914,TNT GDN,Male,15140,1,0.0,17361330
2016-04-08,390878914,TNT GDN,Male,71511,5,0.0,131948950
2016-04-12,390878914,TNT GDN,Male,22718,5,0.0,32867370
2016-04-16,390878914,TNT GDN,Male,140011,23,0.0,243884390
2016-04-17,390878914,TNT GDN,Male,153105,30,0.0,225300020
2016-04-05,390878914,TNT GDN,Male,14771,1,0.0,21308020
2016-04-16,390878914,TNT GDN,Male,11331,1,0.0,12744400
2016-04-19,390878914,TNT GDN,Male,776,0,0.0,1130750
2016-04-12,394914754,Hindware Rimless video promotion,Undetermined,398,0,0.0,125910000
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,10932,19,0.0,3437810000
2016-04-02,390878914,TNT GDN,Male,112852,10,0.0,186803250
2016-04-10,390878914,TNT GDN,Male,14702,3,0.0,25101400
2016-04-17,390878914,TNT GDN,Male,9581,1,0.0,10439150
2016-04-09,390878914,TNT GDN,Male,71968,9,0.0,119921370
2016-04-11,394914754,Hindware Rimless video promotion,Female,414,0,0.0,194640000
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,13797,22,0.0,4663910000
2016-04-07,390878914,TNT GDN,Male,38055,9,0.0,65973020
2016-04-11,390878914,TNT GDN,Male,14709,1,0.0,27900700
2016-04-11,394914754,Hindware Rimless video promotion,Undetermined,102,0,0.0,54840000
2016-04-13,394914754,Hindware Rimless video promotion,Female,215,0,0.0,70870000
2016-04-04,390878914,TNT GDN,Male,15662,0,0.0,22589480
2016-04-13,390878914,TNT GDN,Male,21880,5,0.0,26731210
2016-04-08,390878914,TNT GDN,Male,60137,5,0.0,100250200
2016-04-03,390878914,TNT GDN,Male,122484,24,0.0,177485080
2016-04-12,390878914,TNT GDN,Male,131950,22,0.0,210088510
2016-04-03,390878914,TNT GDN,Male,12139,1,0.0,15192510
2016-04-06,390878914,TNT GDN,Male,132908,24,0.0,202433050
2016-04-09,390878914,TNT GDN,Male,49192,12,0.0,91814930
2016-04-06,390878914,TNT GDN,Male,12637,4,0.0,19835380
2016-04-14,390878914,TNT GDN,Male,136324,34,0.0,207470580
2016-04-15,390878914,TNT GDN,Male,131899,17,0.0,203153470
2016-04-14,390878914,TNT GDN,Male,12409,3,0.0,14854430
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),Female,8089,9,0.0,2985060000
2016-04-02,390878914,TNT GDN,Male,17216,2,0.0,26529330
2016-04-01,390878914,TNT GDN,Male,64828,4,0.0,105001620
2016-04-19,390878914,TNT GDN,Male,43,0,0.0,49050
2016-04-18,390878914,TNT GDN,Male,147363,21,0.0,254842160
2016-04-11,390878914,TNT GDN,Male,113171,20,0.0,198164400
2016-04-13,394914754,Hindware Rimless video promotion,Undetermined,6,0,0.0,1700000
Total, --, --, --,6203269,1685,0.0,120294668740
